,Ind_ID,GENDER,Car_Owner,Property_Owner,CHILDREN,Annual_income,Type_Income,EDUCATION,Marital_status,Housing_type,Age_Years,Employed_Years,Mobile_phone,Work_Phone,Phone,EMAIL_ID,Type_Occupation,Family_Members,label
0,5008827,M,Y,Y,0,180000.0,Pensioner,Higher education,Married,House / apartment,51.0,0.0,1,0,0,0,,2,No
1,5009744,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,37.0,2.0,1,1,1,0,,2,No
2,5009746,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,,2.0,1,1,1,0,,2,No
3,5009749,F,Y,N,0,,Commercial associate,Higher education,Married,House / apartment,37.0,2.0,1,1,1,0,,2,No
4,5009752,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,37.0,2.0,1,1,1,0,,2,No
5,5009753,,Y,N,0,315000.0,Pensioner,Higher education,Married,House / apartment,37.0,2.0,1,1,1,0,,2,No
6,5009754,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,37.0,2.0,1,1,1,0,,2,No
7,5009894,F,N,N,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,61.0,0.0,1,0,0,0,,2,No
8,5010864,M,Y,Y,1,450000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,50.0,2.0,1,0,1,1,Core staff,3,No
9,5010868,M,Y,Y,1,450000.0,Pensioner,Secondary / secondary special,Married,House / apartment,50.0,2.0,1,0,1,1,Core staff,3,No
10,5010869,M,Y,Y,1,450000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,50.0,2.0,1,0,1,1,Core staff,1,No
11,5018498,F,Y,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,52.0,3.0,1,1,1,0,Cooking staff,2,No
12,5018501,F,Y,Y,0,,Working,Secondary / secondary special,Married,House / apartment,52.0,3.0,1,1,1,0,Cooking staff,2,No
13,5018503,F,Y,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,52.0,3.0,1,1,1,0,Cooking staff,2,No
14,5021303,M,N,N,1,472500.0,Pensioner,Higher education,Married,With parents,24.0,3.0,1,0,0,1,,3,No
